caseid_new,caseid_wave,qualified?,survey_completed_new,followup_HCMST_yrmo,relationship_status,married_year,married_month,breakup_year_combo,breakup_month_combo,got_married?_new
758456,758456_6,qualified,yes,201707,still together,,,,,no
773351,773351_6,qualified,yes,201707,still together,,,,,
778421,778421_6,qualified,yes,201707,still together,,,,,
781615,781615_6,qualified,yes,201707,still together,,,,,
787561,787561_6,qualified,yes,201707,still together,,,,,
799451,799451_6,qualified,yes,201707,still together,,,,,
818301,818301_6,qualified,yes,201707,still together,,,,,
819481,819481_6,qualified,yes,201707,still together,,,,,
820666,820666_6,qualified,yes,201707,still together,,,,,no
825281,825281_6,qualified,yes,201707,still together,,,,,
834531,834531_6,qualified,yes,201707,still together,,,,,
838523,838523_6,qualified,yes,201707,still together,,,,,no
842195,842195_6,qualified,yes,201707,still together,,,,,no
847471,847471_6,qualified,yes,201707,still together,,,,,
871691,871691_6,qualified,yes,201707,still together,,,,,
878321,878321_6,qualified,yes,201707,still together,,,,,
891551,891551_6,qualified,yes,201707,still together,,,,,
899246,899246_6,qualified,yes,201707,still together,2017.0,April,,,yes
902521,902521_6,qualified,yes,201707,still together,,,,,
907301,907301_6,qualified,yes,201707,still together,,,,,
923466,923466_6,qualified,yes,201707,still together,,,,,no
939441,939441_6,qualified,yes,201707,still together,,,,,
942656,942656_6,qualified,yes,201707,still together,,,,,
952371,952371_6,qualified,yes,201707,still together,,,,,
973581,973581_6,qualified,yes,201707,still together,,,,,
976531,976531_6,qualified,yes,201707,still together,,,,,
984451,984451_6,qualified,yes,201707,still together,,,,,
986481,986481_6,qualified,yes,201707,still together,,,,,
990636,990636_6,qualified,yes,201707,still together,2015.0,May,,,yes
991466,991466_6,qualified,yes,201707,still together,,,,,
1009361,1009361_6,qualified,yes,201707,still together,,,,,
1029571,1029571_6,qualified,yes,201707,partner passed away,,,,,
1030441,1030441_6,qualified,yes,201707,still together,,,,,
1035596,1035596_6,qualified,yes,201707,still together,,,,,
1041291,1041291_6,qualified,yes,201707,still together,,,,,
1050395,1050395_6,qualified,yes,201707,still together,,,,,no
1052595,1052595_6,qualified,yes,201707,still together,,,,,no
1059286,1059286_6,qualified,yes,201707,still together,,,,,no
1061491,1061491_6,qualified,yes,201707,still together,,,,,
1079255,1079255_6,qualified,yes,201707,still together,,,,,
1083446,1083446_6,qualified,yes,201707,still together,,,,,
1084706,1084706_6,qualified,yes,201707,still together,,,,,
1085626,1085626_6,qualified,yes,201707,still together,,,,,no
1087551,1087551_6,qualified,yes,201707,still together,,,,,
1090535,1090535_6,qualified,yes,201707,broke up,,,2017.0,March,
1101471,1101471_6,qualified,yes,201707,still together,,,,,
1103641,1103641_6,qualified,yes,201707,still together,,,,,
1104541,1104541_6,qualified,yes,201707,still together,,,,,
1115241,1115241_6,qualified,yes,201707,still together,,,,,
1134571,1134571_6,qualified,yes,201707,still together,,,,,
1145473,1145473_6,qualified,yes,201707,still together,,,,,no
1149591,1149591_6,qualified,yes,201707,still together,,,,,
1152556,1152556_6,qualified,yes,201707,still together,,,,,
1153741,1153741_6,qualified,yes,201707,still together,,,,,
1155496,1155496_6,qualified,yes,201707,still together,,,,,
1166341,1166341_6,qualified,yes,201707,still together,,,,,
1179591,1179591_6,qualified,yes,201707,still together,,,,,
1187235,1187235_6,qualified,yes,201707,still together,,,,,
1188821,1188821_6,qualified,yes,201707,still together,,,,,
1189486,1189486_6,qualified,yes,201707,still together,,,,,no
1210536,1210536_6,qualified,yes,201707,still together,,,,,
1214546,1214546_6,qualified,yes,201707,still together,,,,,
1216365,1216365_6,qualified,yes,201707,still together,,,,,no
1223621,1223621_6,qualified,yes,201707,still together,,,,,
1226651,1226651_6,qualified,yes,201707,still together,,,,,
1233501,1233501_6,qualified,yes,201707,still together,,,,,
1252476,1252476_6,qualified,yes,201707,still together,,,,,
1253471,1253471_6,qualified,yes,201707,still together,,,,,
1257371,1257371_6,qualified,yes,201707,still together,,,,,
1262421,1262421_6,qualified,yes,201707,still together,,,,,
1270636,1270636_6,qualified,yes,201707,still together,,,,,
1273236,1273236_6,qualified,yes,201707,still together,,,,,
1278541,1278541_6,qualified,yes,201707,partner passed away,,,,,
1280305,1280305_6,qualified,yes,201707,still together,,,,,
1283621,1283621_6,qualified,yes,201707,still together,,,,,
1286415,1286415_6,qualified,yes,201707,still together,,,,,no
1289291,1289291_6,qualified,yes,201707,still together,,,,,
1290401,1290401_6,qualified,yes,201707,still together,,,,,
1301626,1301626_6,qualified,yes,201707,still together,,,,,
1306381,1306381_6,qualified,yes,201707,still together,,,,,
1316391,1316391_6,qualified,yes,201708,still together,,,,,
1327693,1327693_6,qualified,yes,201707,still together,,,,,no
1328713,1328713_6,qualified,yes,201707,still together,,,,,
